Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading name,Business address,Number of patrons,Longitude,Latitude,location
2002,11,108972,108972,10-22 Spencer Street MELBOURNE 3000,Melbourne (CBD),Explorers Inn,10-22 Spencer Street MELBOURNE 3000,50,144.95525416628004,-37.82051068881513,"-37.82051068881513, 144.95525416628004"
2002,16,103938,103938,187 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Adelphi Hotel,187 Flinders Lane MELBOURNE 3000,80,144.9683846004515,-37.81635974400108,"-37.81635974400108, 144.9683846004515"
2002,64,104376,104376,14-20 A'Beckett Street MELBOURNE 3000,Melbourne (CBD),Word Events,14-20 A'Beckett Street MELBOURNE 3000,200,144.96074103693925,-37.81328770989657,"-37.81328770989657, 144.96074103693925"
2002,84,105449,105449,293-299 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Duke of Kent Hotel,293-299 La Trobe Street MELBOURNE 3000,160,144.9605182551698,-37.81081585737349,"-37.81081585737349, 144.9605182551698"
2002,95,109315,109315,407-409 Swanston Street MELBOURNE 3000,Melbourne (CBD),Basement 407,"Unit 1, Basement , 407 Swanston Street MELBOURNE 3000",150,144.963192113967,-37.8089570116272,"-37.8089570116272, 144.963192113967"
2002,114,109493,109493,143-151 Therry Street MELBOURNE 3000,Melbourne (CBD),Mercat Cross Hotel,143-151 Therry Street MELBOURNE 3000,230,144.9584044815746,-37.80790537925659,"-37.80790537925659, 144.9584044815746"
2002,270,104468,104468,156-292 Grattan Street PARKVILLE 3010,Parkville,University House,Grattan Street PARKVILLE 3010,611,144.9611927667791,-37.796776921155825,"-37.796776921155825, 144.9611927667791"
2002,315,100514,100514,204-206 Arden Street NORTH MELBOURNE 3051,North Melbourne,North Melbourne Football Club Social Club,33 Arden Street NORTH MELBOURNE 3051,210,144.9413101818877,-37.79888820561025,"-37.79888820561025, 144.9413101818877"
2002,658,110266,110266,Brunton Avenue JOLIMONT 3002,East Melbourne,Spotless Services,Part 0-0 Brunton Avenue JOLIMONT 3002,2545,144.98340072111205,-37.82004422483403,"-37.82004422483403, 144.98340072111205"
2002,753,110606,110380,3 Southgate Avenue SOUTHBANK 3006,Southbank,P J O'Briens Irish Pub,3 Southgate Avenue SOUTHBANK 3006,300,144.9663374737802,-37.82071954088171,"-37.82071954088171, 144.9663374737802"
2003,15,103944,103944,277-279 Flinders Lane MELBOURNE 3000,Melbourne (CBD),De Biers,"Unit 1, Basement , 277 Flinders Lane MELBOURNE 3000",400,144.96530699086,-37.81724194023457,"-37.81724194023457, 144.96530699086"
2003,15,109257,109257,1-7 Swanston Street MELBOURNE 3000,Melbourne (CBD),Young & Jackson,1-7 Swanston Street MELBOURNE 3000,450,144.96703233636947,-37.817357255280335,"-37.817357255280335, 144.96703233636947"
2003,61,105716,105716,597-603 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),The Men's Gallery,597-603 Lonsdale Street MELBOURNE 3000,675,144.9545005101703,-37.81490643957871,"-37.81490643957871, 144.9545005101703"
2003,64,104376,104376,14-20 A'Beckett Street MELBOURNE 3000,Melbourne (CBD),Word Events,14-20 A'Beckett Street MELBOURNE 3000,200,144.96074103693925,-37.81328770989657,"-37.81328770989657, 144.96074103693925"
2003,72,110106,110106,263-267 William Street MELBOURNE 3000,Melbourne (CBD),Metropolitan On William Bar & Restaurant,263-267 William Street MELBOURNE 3000,300,144.95659301618502,-37.81292514670666,"-37.81292514670666, 144.95659301618502"
2003,78,103618,103618,242-284 Exhibition Street MELBOURNE 3000,Melbourne (CBD),Coopers Inn,"Shop 1, 242-284 Exhibition Street MELBOURNE 3000",400,144.96998500471204,-37.809416385753934,"-37.809416385753934, 144.96998500471204"
2003,105,103301,103301,442-450 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Melbourne International Backpackers,442-450 Elizabeth Street MELBOURNE 3000,365,144.96086818659967,-37.808309445012966,"-37.808309445012966, 144.96086818659967"
2003,247,106238,106238,192-202 Lygon Street CARLTON 3053,Carlton,Players On Lygon,"Ground , 200 Lygon Street CARLTON 3053",200,144.96699165611432,-37.80254093983895,"-37.80254093983895, 144.96699165611432"
2003,267,106251,106251,66-88 Lygon Street CARLTON 3053,Carlton,Lagers On Lygon,"Part Ground , 66 Lygon Street CARLTON 3053",80,144.9665840839516,-37.80530454659966,"-37.80530454659966, 144.9665840839516"
2003,375,103810,103810,5-17 Flemington Road NORTH MELBOURNE 3051,North Melbourne,The Chifley On Flemington,5-17 Flemington Road NORTH MELBOURNE 3051,230,144.9558564154721,-37.80143739836391,"-37.80143739836391, 144.9558564154721"
2003,710,108617,108617,375-385 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),Royce On St Kilda Road,375 St Kilda Road MELBOURNE 3004,120,144.97555072266726,-37.83508390239305,"-37.83508390239305, 144.97555072266726"
2003,1103,558180,558180,94-148 Harbour Esplanade DOCKLANDS 3008,Docklands,Locker Room Club Bar,"Part Level 1, 140 Harbour Esplanade DOCKLANDS 3008",500,144.9475184354052,-37.81649272044851,"-37.81649272044851, 144.9475184354052"
2004,14,103172,103172,31-39 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),The Green Room,35-0 Elizabeth Street MELBOURNE 3000,225,144.964321660097,-37.81742610667125,"-37.81742610667125, 144.964321660097"
2004,14,103172,103172,31-39 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),The Joint,31-39 Elizabeth Street MELBOURNE 3000,329,144.964321660097,-37.81742610667125,"-37.81742610667125, 144.964321660097"
2004,15,109257,109257,1-7 Swanston Street MELBOURNE 3000,Melbourne (CBD),Young & Jackson,1-7 Swanston Street MELBOURNE 3000,470,144.96703233636947,-37.817357255280335,"-37.817357255280335, 144.96703233636947"
2004,31,102113,102113,546-566 Collins Street MELBOURNE 3000,Melbourne (CBD),Nero Bar,546-566 Collins Street MELBOURNE 3000,80,144.95585368742184,-37.818245884887304,"-37.818245884887304, 144.95585368742184"
2004,56,101207,101207,184-186 Bourke Street MELBOURNE 3000,Melbourne (CBD),Hollywood Karaoke Bar,"Level 1, 184-186 Bourke Street MELBOURNE 3000",204,144.96769718945876,-37.812677389205746,"-37.812677389205746, 144.96769718945876"
2004,58,105828,105828,19-25 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),Cheers On Little Bourke Street,19 Little Bourke Street MELBOURNE 3000,350,144.97199956168686,-37.8107442049127,"-37.8107442049127, 144.97199956168686"
2004,74,106017,106017,391-393 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),La La Land,"Level 1, 391 Little Lonsdale Street MELBOURNE 3000",175,144.9603507674639,-37.8118754125278,"-37.8118754125278, 144.9603507674639"
2004,78,108991,108991,267-271 Spring Street MELBOURNE 3000,Melbourne (CBD),Elm's Family Hotel,Part 267-271 Spring Street MELBOURNE 3000,200,144.97145390976615,-37.808610073043155,"-37.808610073043155, 144.97145390976615"
2004,114,109493,109493,143-151 Therry Street MELBOURNE 3000,Melbourne (CBD),Mercat Cross Hotel,143-151 Therry Street MELBOURNE 3000,230,144.9584044815746,-37.80790537925659,"-37.80790537925659, 144.9584044815746"
2004,217,103102,103102,171-175 Elgin Street CARLTON 3053,Carlton,Pugg Mahones,171-175 Elgin Street CARLTON 3053,500,144.96871691208585,-37.797507504118016,"-37.797507504118016, 144.96871691208585"
2004,378,103818,103818,75-79 Flemington Road NORTH MELBOURNE 3051,North Melbourne,Redback Brewery Hotel,"Part Gnd & Flr1 , 75-79 Flemington Road NORTH MELBOURNE 3051",650,144.95335716198912,-37.79895204865818,"-37.79895204865818, 144.95335716198912"
2004,435,107481,107481,65-67 Peel Street WEST MELBOURNE 3003,West Melbourne (Residential),Loki Bar,65-67 Peel Street WEST MELBOURNE 3003,140,144.95550681833367,-37.806669084113175,"-37.806669084113175, 144.95550681833367"
2004,859,109512,109512,146W-150W Toorak Road SOUTH YARRA 3141,South Yarra,United Kingdom Settlers Association,"Front Floor 1, 146W Toorak Road SOUTH YARRA 3141",100,144.9843804943388,-37.83764654440955,"-37.83764654440955, 144.9843804943388"
2005,11,108971,108971,561-585 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Holiday Inn On Flinders Melbourne,561-585 Flinders Lane MELBOURNE 3000,100,144.95511371743692,-37.820201437795866,"-37.820201437795866, 144.95511371743692"
2005,13,108058,108058,7-11 Queen Street MELBOURNE 3000,Melbourne (CBD),The Bliss Lounge,"Basement , 11 Queen Street MELBOURNE 3000",210,144.9619565192058,-37.81862081553311,"-37.81862081553311, 144.9619565192058"
2005,16,103938,103938,187 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Adelphi Hotel,187 Flinders Lane MELBOURNE 3000,80,144.9683846004515,-37.81635974400108,"-37.81635974400108, 144.9683846004515"
2005,25,103964,103964,30-44 Manchester Lane MELBOURNE 3000,Melbourne (CBD),Manchester Lane,36 Manchester Lane MELBOURNE 3000,250,144.9662091829816,-37.81642295306987,"-37.81642295306987, 144.9662091829816"
2005,48,108983,108983,103-137 Spring Street MELBOURNE 3000,Melbourne (CBD),Hard Rock Cafe,1 Spring Street MELBOURNE 3000,500,144.9729329718854,-37.811995901555065,"-37.811995901555065, 144.9729329718854"
2005,61,105716,105716,597-603 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),The Men's Gallery,597-603 Lonsdale Street MELBOURNE 3000,675,144.9545005101703,-37.81490643957871,"-37.81490643957871, 144.9545005101703"
2005,62,105384,105384,204-208 King Street MELBOURNE 3000,Melbourne (CBD),Great Western Hotel,204-208 King Street MELBOURNE 3000,390,144.95549294464604,-37.815213231403405,"-37.815213231403405, 144.95549294464604"
2005,78,108991,108991,267-271 Spring Street MELBOURNE 3000,Melbourne (CBD),Elm's Family Hotel,Part 267-271 Spring Street MELBOURNE 3000,200,144.97145390976615,-37.808610073043155,"-37.808610073043155, 144.97145390976615"
2005,87,108565,108565,312-318 Russell Street MELBOURNE 3000,Melbourne (CBD),Kivotos Cafe Bar,312 Russell Street MELBOURNE 3000,269,144.9668252164964,-37.80932654189252,"-37.80932654189252, 144.9668252164964"
2005,105,109317,109317,427-433 Swanston Street MELBOURNE 3000,Melbourne (CBD),The Oxford Scholar Hotel,427-433 Swanston Street MELBOURNE 3000,486,144.96293756796908,-37.80846017511618,"-37.80846017511618, 144.96293756796908"
2005,270,104468,104468,156-292 Grattan Street PARKVILLE 3010,Parkville,INU Bar & Restuarant,"Part Level 3, 156-292 Grattan Street PARKVILLE 3010",200,144.9611927667791,-37.796776921155825,"-37.796776921155825, 144.9611927667791"
2005,362,109843,109843,232-238 Victoria Street MELBOURNE 3000,North Melbourne,The Public Bar Hotel,238 Victoria Street MELBOURNE 3000,180,144.9585968320725,-37.80593464473581,"-37.80593464473581, 144.9585968320725"
2005,658,110266,110266,Brunton Avenue JOLIMONT 3002,East Melbourne,Spotless Services,Part  Brunton Avenue JOLIMONT 3002,2545,144.98319738818486,-37.82000821319277,"-37.82000821319277, 144.98319738818486"
2005,915,108456,108456,43-49 Royal Parade PARKVILLE 3052,Parkville,Naughtons Hotel,43-49 Royal Parade PARKVILLE 3052,120,144.95754147493764,-37.79554574576514,"-37.79554574576514, 144.95754147493764"
2005,1103,558180,558180,122-148 Harbour Esplanade DOCKLANDS 3008,Docklands,Locker Room Club Bar,"Part Level 1, 140 Harbour Esplanade DOCKLANDS 3008",500,144.9475184354052,-37.81649272044851,"-37.81649272044851, 144.9475184354052"
2006,14,103951,103951,341-347 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Bull And Bear Tavern,347 Flinders Lane MELBOURNE 3000,180,144.96304046635782,-37.81782473321002,"-37.81782473321002, 144.96304046635782"
2006,25,103964,103964,30-44 Manchester Lane MELBOURNE 3000,Melbourne (CBD),Manchester Lane,36 Manchester Lane MELBOURNE 3000,250,144.9662091829816,-37.81642295306987,"-37.81642295306987, 144.9662091829816"
2006,43,108068,108068,111-129 Queen Street MELBOURNE 3000,Melbourne (CBD),CQ Bar,"Part Mezzanine 0, 123-0 Queen Street MELBOURNE 3000",100,144.9606455105183,-37.8158136440607,"-37.8158136440607, 144.9606455105183"
2006,55,101193,101193,338-352 Bourke Street MELBOURNE 3000,Melbourne (CBD),Juliet's Champagne Bar,338-352 Bourke Street MELBOURNE 3000,60,144.96329803216406,-37.813604858013775,"-37.813604858013775, 144.96329803216406"
2006,61,105716,105716,597-603 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),The Men's Gallery,597-603 Lonsdale Street MELBOURNE 3000,675,144.9545005101703,-37.81490643957871,"-37.81490643957871, 144.9545005101703"
2006,78,103618,103618,242-284 Exhibition Street MELBOURNE 3000,Melbourne (CBD),Coopers Inn,"Shop 1, 242-284 Exhibition Street MELBOURNE 3000",400,144.96998500471204,-37.809416385753934,"-37.809416385753934, 144.96998500471204"
2006,204,101613,101613,377-391 Cardigan Street CARLTON 3053,Carlton,Clyde Hotel,377-391 Cardigan Street CARLTON 3053,239,144.96576379262143,-37.79725684086871,"-37.79725684086871, 144.96576379262143"
2006,227,576967,576967,184 Rathdowne Street CARLTON 3053,Carlton,Rathdowne Tavern,184 Rathdowne Street CARLTON 3053,100,144.9712397941015,-37.7947671021019,"-37.7947671021019, 144.9712397941015"
2006,375,103810,103810,5-17 Flemington Road NORTH MELBOURNE 3051,North Melbourne,RMIT Village Old Melbourne,5-17 Flemington Road NORTH MELBOURNE 3051,356,144.9558564154721,-37.80143739836392,"-37.80143739836392, 144.9558564154721"
2007,6,578324,573333,2 Swanston Street MELBOURNE 3000,Melbourne (CBD),Transport,"Tenancy 29, 2 Swanston Street MELBOURNE 3000",900,144.9699510419009,-37.8177791473443,"-37.8177791473443, 144.9699510419009"
2007,6,578327,573333,2 Swanston Street MELBOURNE 3000,Melbourne (CBD),Zinc at Federation Square,"Tenancy 18, 2 Swanston Street MELBOURNE 3000",1000,144.9699510419009,-37.8177791473443,"-37.8177791473443, 144.9699510419009"
2007,15,109257,109257,1-7 Swanston Street MELBOURNE 3000,Melbourne (CBD),Young & Jackson,1-7 Swanston Street MELBOURNE 3000,470,144.96703233636947,-37.817357255280335,"-37.817357255280335, 144.96703233636947"
2007,21,108967,108967,66-70 Spencer Street MELBOURNE 3000,Melbourne (CBD),The Batman's Hill Hotel,66-70 Spencer Street MELBOURNE 3000,1500,144.95475962673038,-37.81942775489416,"-37.81942775489416, 144.95475962673038"
2007,46,101130,101130,193-199 Bourke Street MELBOURNE 3000,Melbourne (CBD),The Carlton Hotel,"Floor 1, 193-199 Bourke Street MELBOURNE 3000",200,144.9676551111507,-37.81320575010734,"-37.81320575010734, 144.9676551111507"
2007,58,101238,101238,2-8 Bourke Street MELBOURNE 3000,Melbourne (CBD),Imperial Hotel,2-8 Bourke Street MELBOURNE 3000,300,144.9726850103448,-37.81120210869503,"-37.81120210869503, 144.9726850103448"
2007,58,103621,103621,174-192 Exhibition Street MELBOURNE 3000,Melbourne (CBD),CBD Cafe Bar,"Part Ground , 174-192 Exhibition Street MELBOURNE 3000",190,144.97060728433877,-37.811220324974286,"-37.811220324974286, 144.97060728433877"
2007,376,508976,110862,42 Courtney Street NORTH MELBOURNE 3051,North Melbourne,Metropolitan Hotel,42 Courtney Street NORTH MELBOURNE 3051,100,144.9541083709252,-37.801431447198595,"-37.801431447198595, 144.9541083709252"
2007,658,110266,110266,Brunton Avenue JOLIMONT 3002,East Melbourne,Spotless Services,Part  Brunton Avenue JOLIMONT 3002,2800,144.98319738818486,-37.82000821319277,"-37.82000821319277, 144.98319738818486"
2007,730,609329,110401,334-342 City Road SOUTHBANK 3006,Southbank,Eve Bar Lounge,334-342 City Road SOUTHBANK 3006,600,144.95736075837317,-37.82783909985716,"-37.82783909985716, 144.95736075837317"
2007,753,110606,110380,3 Southgate Avenue SOUTHBANK 3006,Southbank,Mecca,"Restaurant 3, Mid Lvl , 3 Southgate Avenue SOUTHBANK 3006",200,144.96631253645785,-37.82071954088171,"-37.82071954088171, 144.96631253645785"
2007,1104,576024,576023,747-757 Bourke Street DOCKLANDS 3008,Docklands,The Nixon Hotel Pty Ltd,749 Bourke Street DOCKLANDS 3008,300,144.9480015267137,-37.819382282295194,"-37.819382282295194, 144.9480015267137"
2008,15,109257,109257,1-7 Swanston Street MELBOURNE 3000,Melbourne (CBD),Young & Jackson,1-7 Swanston Street MELBOURNE 3000,470,144.96702291596935,-37.8173559295,"-37.8173559295, 144.96702291596935"
2008,23,102099,102099,419-429 Collins Street MELBOURNE 3000,Melbourne (CBD),Silk Road on Collins,"Ground & Mezzanine , 419-429 Collins Street MELBOURNE 3000",911,144.96065267909762,-37.81752823875,"-37.81752823875, 144.96065267909762"
2008,33,108067,108067,103-105 Queen Street MELBOURNE 3000,Melbourne (CBD),Chaise Lounge,"Basement , 105 Queen Street MELBOURNE 3000",140,144.96081186476823,-37.81615489945,"-37.81615489945, 144.96081186476823"
2008,48,105968,105968,62-66 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Bridie O'Reillys,62-66 Little Collins Street MELBOURNE 3000,285,144.97144185730002,-37.81280974331476,"-37.81280974331476, 144.97144185730002"
2008,57,101219,101219,100-116 Bourke Street MELBOURNE 3000,Melbourne (CBD),Bass Lounge,"Suite 12, Basement , 108 Bourke Street MELBOURNE 3000",350,144.9697608853,-37.81172679600914,"-37.81172679600914, 144.9697608853"
2008,803,111175,110477,8 Whiteman Street SOUTHBANK 3006,Southbank,Fidel's Bar & Lounge,"Shop 61, Basement , 8 Whiteman Street SOUTHBANK 3006",100,144.95833558279713,-37.8231615953,"-37.8231615953, 144.95833558279713"
2008,915,108456,108456,43-49 Royal Parade PARKVILLE 3052,Parkville,Naughtons Hotel,43-49 Royal Parade PARKVILLE 3052,350,144.9575319741715,-37.795544285800005,"-37.795544285800005, 144.9575319741715"
