Location_ID,Sensing_DateTime,Sensing_Date,Sensing_Time,Direction_1,Direction_2,Total_of_Directions
3,2025-10-10T00:55:00+11:00,2025-10-10,00:55,1,0,1
3,2025-10-10T01:02:00+11:00,2025-10-10,01:02,4,2,6
3,2025-10-10T01:07:00+11:00,2025-10-10,01:07,3,0,3
4,2025-10-10T00:58:00+11:00,2025-10-10,00:58,2,1,3
4,2025-10-10T00:59:00+11:00,2025-10-10,00:59,1,0,1
4,2025-10-10T01:01:00+11:00,2025-10-10,01:01,2,0,2
4,2025-10-10T01:03:00+11:00,2025-10-10,01:03,4,3,7
4,2025-10-10T01:06:00+11:00,2025-10-10,01:06,1,2,3
5,2025-10-10T00:55:00+11:00,2025-10-10,00:55,2,2,4
5,2025-10-10T01:00:00+11:00,2025-10-10,01:00,1,4,5
6,2025-10-10T00:56:00+11:00,2025-10-10,00:56,3,0,3
6,2025-10-10T01:09:00+11:00,2025-10-10,01:09,0,1,1
14,2025-10-10T01:07:00+11:00,2025-10-10,01:07,3,0,3
14,2025-10-10T01:09:00+11:00,2025-10-10,01:09,1,1,2
21,2025-10-10T00:55:00+11:00,2025-10-10,00:55,2,1,3
21,2025-10-10T01:00:00+11:00,2025-10-10,01:00,6,4,10
28,2025-10-10T00:56:00+11:00,2025-10-10,00:56,5,0,5
28,2025-10-10T01:05:00+11:00,2025-10-10,01:05,2,0,2
29,2025-10-10T01:04:00+11:00,2025-10-10,01:04,0,1,1
31,2025-10-10T01:03:00+11:00,2025-10-10,01:03,1,0,1
36,2025-10-10T00:58:00+11:00,2025-10-10,00:58,1,0,1
36,2025-10-10T01:08:00+11:00,2025-10-10,01:08,0,4,4
36,2025-10-10T01:09:00+11:00,2025-10-10,01:09,0,2,2
40,2025-10-10T00:59:00+11:00,2025-10-10,00:59,0,1,1
41,2025-10-10T00:58:00+11:00,2025-10-10,00:58,1,2,3
41,2025-10-10T01:00:00+11:00,2025-10-10,01:00,2,2,4
41,2025-10-10T01:03:00+11:00,2025-10-10,01:03,0,3,3
41,2025-10-10T01:06:00+11:00,2025-10-10,01:06,1,2,3
41,2025-10-10T01:08:00+11:00,2025-10-10,01:08,1,5,6
42,2025-10-10T00:56:00+11:00,2025-10-10,00:56,2,0,2
42,2025-10-10T01:06:00+11:00,2025-10-10,01:06,1,1,2
42,2025-10-10T01:08:00+11:00,2025-10-10,01:08,1,0,1
43,2025-10-10T01:05:00+11:00,2025-10-10,01:05,1,0,1
44,2025-10-10T01:05:00+11:00,2025-10-10,01:05,0,1,1
45,2025-10-10T01:00:00+11:00,2025-10-10,01:00,2,5,7
45,2025-10-10T01:05:00+11:00,2025-10-10,01:05,0,6,6
45,2025-10-10T01:06:00+11:00,2025-10-10,01:06,0,1,1
45,2025-10-10T01:07:00+11:00,2025-10-10,01:07,0,1,1
47,2025-10-10T00:55:00+11:00,2025-10-10,00:55,1,1,2
47,2025-10-10T00:56:00+11:00,2025-10-10,00:56,3,0,3
47,2025-10-10T00:57:00+11:00,2025-10-10,00:57,0,4,4
47,2025-10-10T00:58:00+11:00,2025-10-10,00:58,3,4,7
47,2025-10-10T00:59:00+11:00,2025-10-10,00:59,4,0,4
47,2025-10-10T01:00:00+11:00,2025-10-10,01:00,1,1,2
54,2025-10-10T01:02:00+11:00,2025-10-10,01:02,0,1,1
54,2025-10-10T01:09:00+11:00,2025-10-10,01:09,2,0,2
59,2025-10-10T01:05:00+11:00,2025-10-10,01:05,9,2,11
61,2025-10-10T00:57:00+11:00,2025-10-10,00:57,0,2,2
61,2025-10-10T00:58:00+11:00,2025-10-10,00:58,0,1,1
61,2025-10-10T00:59:00+11:00,2025-10-10,00:59,1,0,1
61,2025-10-10T01:06:00+11:00,2025-10-10,01:06,4,0,4
66,2025-10-10T00:56:00+11:00,2025-10-10,00:56,2,0,2
66,2025-10-10T00:58:00+11:00,2025-10-10,00:58,1,9,10
66,2025-10-10T01:05:00+11:00,2025-10-10,01:05,6,2,8
66,2025-10-10T01:07:00+11:00,2025-10-10,01:07,1,2,3
66,2025-10-10T01:08:00+11:00,2025-10-10,01:08,3,3,6
84,2025-10-10T01:00:00+11:00,2025-10-10,01:00,1,5,6
108,2025-10-10T01:06:00+11:00,2025-10-10,01:06,1,0,1
131,2025-10-10T00:55:00+11:00,2025-10-10,00:55,0,2,2
133,2025-10-10T00:55:00+11:00,2025-10-10,00:55,6,2,8
135,2025-10-10T00:55:00+11:00,2025-10-10,00:55,2,5,7
162,2025-10-10T01:05:00+11:00,2025-10-10,01:05,1,2,3
2,2025-10-10T00:57:00+11:00,2025-10-10,00:57,0,1,1
9,2025-10-10T00:58:00+11:00,2025-10-10,00:58,2,0,2
12,2025-10-10T01:02:00+11:00,2025-10-10,01:02,2,0,2
17,2025-10-10T01:00:00+11:00,2025-10-10,01:00,0,1,1
17,2025-10-10T01:09:00+11:00,2025-10-10,01:09,1,0,1
19,2025-10-10T01:07:00+11:00,2025-10-10,01:07,0,1,1
20,2025-10-10T00:56:00+11:00,2025-10-10,00:56,2,0,2
20,2025-10-10T00:57:00+11:00,2025-10-10,00:57,2,0,2
20,2025-10-10T01:00:00+11:00,2025-10-10,01:00,0,2,2
20,2025-10-10T01:05:00+11:00,2025-10-10,01:05,4,1,5
24,2025-10-10T00:55:00+11:00,2025-10-10,00:55,0,5,5
24,2025-10-10T01:03:00+11:00,2025-10-10,01:03,0,1,1
27,2025-10-10T00:55:00+11:00,2025-10-10,00:55,0,2,2
30,2025-10-10T01:05:00+11:00,2025-10-10,01:05,0,5,5
